CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-002370,,,,,2/14/2018 7:11 AM,,,2/13/2018 12:00 AM,,,,,43176,604 ,1,,,1,,
,WO-PS-18-002389,,,,,2/14/2018 8:48 AM,,,2/13/2018 12:00 AM,,,,,43172,200 ,1.06,,,"2,127",,
,WO-PS-18-002423,,,,,2/14/2018 2:27 PM,,,2/14/2018 12:00 AM,,,,,43173,309 ,1.07,,,1,,
,WO-PS-18-002447,,,,,2/15/2018 7:47 AM,,,2/14/2018 12:00 AM,,,,,43174,400 ,0,,,0,,
,WO-PS-18-002457,,,,,2/15/2018 8:19 AM,,,2/16/2018 12:00 AM,,,,,43172,210 ,1,,,0,,
,WO-PS-18-002487,,,,,2/15/2018 1:23 PM,,,2/15/2018 12:00 AM,,,,,43173,309 ,1.07,,,1,,
,WO-PS-18-002509,,,,,2/15/2018 4:05 PM,,,2/19/2018 12:00 AM,,,,,43124,501 ,0.5,,,"1,000",,
,WO-PS-18-002532,,,,,2/16/2018 7:37 AM,,,2/15/2018 12:00 AM,,,,,43176,600 ,2,,,2,,
,WO-PS-18-002576,,,,,2/16/2018 2:12 PM,,,2/19/2018 12:00 AM,,,,,43124,508 ,0.5,,,"1,000",,
,WO-PS-18-002583,,,,,2/16/2018 4:03 PM,,,2/19/2018 12:00 AM,,,,,43175,510 ,0,,,0,,
,WO-PS-18-002633,,,,,2/19/2018 8:59 AM,,,2/19/2018 12:00 AM,,,,,43171,101 ,0,,,0,,
,WO-PS-18-002655,,,,,2/19/2018 10:03 AM,,,2/19/2018 12:00 AM,,,,,43175,509 ,0,,,0,,
,WO-PS-18-002674,,,,,2/19/2018 12:12 PM,,,2/19/2018 12:00 AM,,,,,43175,510 ,1,,,"2,101",,
,WO-PS-18-002703,,,,,2/19/2018 2:49 PM,,,2/20/2018 12:00 AM,,,,,43174,404 ,0,,,0,,
,WO-PS-18-002704,,,,,2/19/2018 2:50 PM,,,2/20/2018 12:00 AM,,,,,43174,404 ,0,,,0,,
,WO-PS-18-002750,,,,,2/20/2018 8:58 AM,,,2/22/2018 12:00 AM,,,,,43175,506 ,10,,,"1,977",,
,WO-PS-18-002766,,,,,2/20/2018 11:18 AM,,,2/21/2018 12:00 AM,,,,,43174,405 ,0,,,0,,
,WO-PS-18-002768,,,,,2/20/2018 11:28 AM,,,2/20/2018 12:00 AM,,,,,43173,302 ,0,,,0,,
,WO-PS-18-002770,,,,,2/20/2018 12:14 PM,,,2/20/2018 12:00 AM,,,,,43175,506 ,10,,,"1,926",,
,WO-PS-18-002796,,,,,2/20/2018 1:39 PM,,,2/20/2018 12:00 AM,,,,,43173,301 ,0.99,,,1,,
,WO-PS-18-002815,,,,,2/21/2018 7:03 AM,,,2/19/2018 12:00 AM,,,,,43172,200 ,2,,,"3,921",,
,WO-PS-18-002832,,,,,2/21/2018 8:05 AM,,,2/23/2018 12:00 AM,,,,,43172,209 ,1,,,0,,
,WO-PS-18-002852,,,,,2/21/2018 12:24 PM,,,2/21/2018 12:00 AM,,,,,43174,407 ,0,,,0,,
